1906/8/20 9:27,巳時,初一,朔
1906/9/3 7:36,辰時,十五,望
1906/9/18 20:33,戌時,初一,朔
1906/10/2 20:48,戌時,十五,望
1906/10/18 6:43,卯時,初一,朔
1906/11/1 12:46,午時,十五,望
1906/11/16 16:37,申時,初一,朔
1906/12/1 7:07,辰時,十六,望
1906/12/16 2:54,丑時,初一,朔
1906/12/31 2:44,丑時,十六,望
1907/1/14 13:57,未時,初一,朔
1907/1/29 21:45,亥時,十六,望
1907/2/13 1:43,丑時,初一,朔
1907/2/28 14:22,未時,十六,望
1907/3/14 14:05,未時,初一,朔
1907/3/30 3:44,寅時,十七,望
1907/4/13 3:05,寅時,初一,朔
1907/4/28 14:04,未時,十六,望
1907/5/12 16:59,申時,初一,朔
1907/5/27 22:18,亥時,十六,望
1907/6/11 7:49,辰時,初一,朔
1907/6/26 5:27,卯時,十六,望
1907/7/10 23:17,子時,初一,朔
1907/7/25 12:29,午時,十六,望
1907/8/9 14:36,未時,初一,朔
1907/8/23 20:15,戌時,十五,望
1907/9/8 5:04,卯時,初一,朔
1907/9/22 5:34,卯時,十五,望
1907/10/7 18:21,酉時,初一,朔
1907/10/21 17:17,酉時,十五,望
1907/11/6 6:39,卯時,初一,朔
1907/11/20 8:04,辰時,十五,望
1907/12/5 18:23,酉時,初一,朔
1907/12/20 1:55,丑時,十六,望
1908/1/4 5:44,卯時,初一,朔
1908/1/18 21:37,亥時,十五,望
1908/2/2 16:37,申時,初一,朔
1908/2/17 17:05,酉時,十六,望
1908/3/3 2:57,丑時,初一,朔
1908/3/18 10:28,巳時,十六,望
1908/4/1 13:02,未時,初一,朔
1908/4/17 0:55,子時,十七,望
1908/4/30 23:33,子時,初一,朔
1908/5/16 12:32,午時,十七,望
1908/5/30 11:14,午時,初一,朔
1908/6/14 21:55,亥時,十六,望
1908/6/29 0:31,子時,初一,朔
1908/7/14 5:48,卯時,十六,望
1908/7/28 15:17,申時,初一,朔
1908/8/12 12:59,午時,十六,望
1908/8/27 6:59,卯時,初一,朔
1908/9/10 20:23,戌時,十五,望
1908/9/25 22:59,亥時,初一,朔
1908/10/10 5:03,卯時,十六,望
1908/10/25 14:46,未時,初一,朔
1908/11/8 15:58,申時,十五,望
1908/11/24 5:53,卯時,初一,朔
1908/12/8 5:44,卯時,十五,望
1908/12/23 19:50,戌時,初一,朔
1909/1/6 22:13,亥時,十五,望
1909/1/22 8:12,辰時,初一,朔
1909/2/5 16:25,申時,十五,望
